,,,,,,,,,
,,Prerequisitos,,,,,,,
,,Sistema de cuentas de usuario,,,,,,,
,,OTP login,,,,,,,
,,,,,,,,,
,,Tareas fuera de CU,,,,Agosto,Septiembre,Octubre,
,DATABASE,Construir modelo de base de datos,,,,X,,,
,INFR.,Backend/Frontend test/production Servers,,,,X,,,
,BACKEND,Definir modelos en el backend,,,,X,,,
,FRONTEND,Definir modelos en el frontend,,,,X,,,
,BACKEND,Infraestructura y logica de notificaciones (externo a módulo STD),,,,X,,,
,BACKEND,Generador de JSON para mapa version aplicante,,,,,X,,
,BACKEND,Generador de JSON para mapa version admin,,,,,,X,
,,,,,,,,,
ACTOR,ID,Título,Backend actions,Frontend Views,Complexity,Agosto,Septiembre,Octubre,Noviembre
Aplicante,CU-STD-001,Aplicar a ser expositor (enviar datos y documentos),CREATE Expositor,Complex form,High,X,,,
Aplicante,CU-STD-002,Editar y reenviar la solicitud tras solicitud de cambios,UPDATE Expositor,Pre-filled complex form,High,X,,,
Aplicante,CU-STD-003,Revisar el estado de la solicitud,READ Expositor,Notification modal,Low,X,,,
Administrador,CU-STD-004,"Consultar la lista de solicitudes, filtrable por estado",READ Expositor <List>,Filterable list view,Medium,,X,,
Administrador,CU-STD-005,Revisar el detalle de una solicitud (documentos e información enviada),READ Expositor,Detailed Information View,Medium,,X,,
Administrador,CU-STD-006,Aceptar o rechazar una solicitud,UPDATE Expositor,Button + Confirmation Modal,Low,,X,,
Administrador,CU-STD-007,Solicitar cambios a una solicitud,UPDATE Expositor,Button + Modal Form,Low,,X,,
Sistema,CU-STD-008,Notificar al aplicante el resultado de su solicitud,CREATE NotificacionUsuario,Email notification,Low,,X,,
Aplicante,CU-STD-009,Visualizar el mapa del showfloor (solo disponibles y no disponibles),READ MapaShowfloor,Embedded Godot View,High,,X,,
Aplicante,CU-STD-010,Consultar el detalle de un stand (dimensiones y precio por m²),READ Stand,Confirmation Modal w/ information,Medium,,X,,
Aplicante,CU-STD-011,"Agregar, quitar y gestionar el carrito de stands",N/A (Gestiona localstorage de browser),Sidebar w/ localstorage CRUD,Medium,,X,,
Aplicante,CU-STD-012,Realizar la reserva de los stands seleccionados,CREATE ReservaStand,Confirmation Modal,Low,,X,,
Aplicante,CU-STD-013,"Consultar el estado de mi reserva (mapa, total, abonado, pendiente, descuento)",READ ReservaStand,Detailed Information View,Medium,,X,,
Aplicante,CU-STD-014,Atender la notificación de posible cancelación de mi reserva,READ ReservaStand,In-lined notification warning,Low,,X,,
Aplicante,CU-STD-015,Consultar las instrucciones de pago (transferencia - depósito con cheque),READ ConfiguracionStands,Information view,Low,,X,,
Aplicante,CU-STD-016,Registrar un pago o movimiento con comprobante adjunto,CREATE PagoReserva,Modal form w/ file uploading,Medium,,X,,
Aplicante,CU-STD-017,Consultar el historial de pagos y abonos,READ ReservaStand/PagoReserva,List View,Low,,X,,
Administrador,CU-STD-018,Validar un movimiento de pago y confirmar el abono,UPDATE PagoReserva/ReservaStand,Information view w/ confirmation/deny buttons,Medium,,X,,
Administrador,CU-STD-019,Registrar un abono manual con documento adjunto obligatorio,UPDATE PagoReserva/ReservaStand,Modal form w/ file uploading,Medium,,X,,
Administrador,CU-STD-020,Aplicar un descuento especial (override manual) con motivo registrado,CREATE DescuentoAplicado,Modal form,Low,,X,,
Sistema,CU-STD-021,Marcar los stands como reservados al confirmarse la reserva,UPDATE Stand,N/A,Low,,X,,
Sistema,CU-STD-022,Mantener la reserva activa por 30 días en espera del 50%,CREATE NotificacionUsuario,Email notification,Low,,X,,
Sistema,CU-STD-023,Aplicar automáticamente el descuento del 10% por pronto pago,UPDATE ReservaStand,N/A,Medium,,X,,
Sistema,CU-STD-024,Notificar al administrador las reservas vencidas (con o sin abono),CREATE NotificacionUsuario,Email notification,Low,,X,,
Sistema,CU-STD-025,Notificar al aplicante que su reserva puede cancelarse,CREATE NotificacionUsuario,Email notification,Low,,X,,
Sistema,CU-STD-026,Confirmar y bloquear la reserva al cubrirse el 50% (+ notificar por correo),UPDATE ReservaStand,N/A,Low,,X,,
Sistema,CU-STD-027,Cambiar la reserva a pagada al cubrirse el 100% (+ notificar por correo),UPDATE ReservaStand,N/A,Low,,X,,
Administrador,CU-STD-028,"Consultar la lista de todas las reservas, filtrable",READ ReservaStand <List>,Filterable list view,Medium,,X,,
Administrador,CU-STD-029,"Ver el detalle de una reserva (abonos, contacto y acciones asociadas)",READ ReservaStand,Detailed Information View,Medium,,X,,
Administrador,CU-STD-030,Consultar la lista de expositores con solicitud aceptada,READ Expositor <List>,Filterable list view,Medium,,X,,
Administrador,CU-STD-031,"Ver el detalle de un expositor (reservas, documentos, datos de empresa y contacto)",READ Expositor,Detailed Information View,Medium,,X,,
Administrador,CU-STD-032,Visualizar el mapa completo (con quién reservó y saldo pendiente),READ MapaShowfloor,Embedded Godot View,High,,,X,
Administrador,CU-STD-033,Corregir o editar un espacio del mapa (p. ej. por ampliación; sin registrar el evento),WILL NOT DO,WILL NOT DO,,,,,
Administrador,CU-STD-034,Configurar los parámetros del sistema,UPDATE ConfiguracionStands,Complex form view,High,,X,,
Administrador,CU-STD-035,Resolver una reserva vencida (cancelar o prorrogar con nueva fecha),UPDATE ReservaStand,Modal form,Medium,,,X,
Administrador,CU-STD-036,Modificar la fecha de corte o bloqueo de una reserva,UPDATE ReservaStand,Modal form,Medium,,,X,
Aplicante,SIN DEFINIR,Pago con pasarela de pagos,CREATE PagoReserva,Por verse,High,,,,X
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,High,6,,,
,,,,,Medium,15,,,
,,,,,Low,15,,,
