,FILEY.Coordinacion de Artes Visuales 2026. Cordinador Manuel Jesús May Tilan,,,,,,,,,,,,,,,,,,,,
No.,Sede,Fecha periodo,"Institucion participante
","Fecha
",Actividad / Título,"Disciplina
",Num. Obras/ Cantidad,Especialidad,Participantes,,,,,,,,,,,,
ACTIVIDADES VIRTUALES,,,,,,,,,,,,,,,,,,,,,
1,www.filey.org, de marzo 2026 a marzo 2027,"Facultad de Artes Visuales de la Universidad de las Artes de Cuba, ISA, YUCUNET, FILEY-UADY Hortensia Peramo Cabrera, curadora",2026-03-14 00:00:00,"Matahambre. Proyecto universitario de investigación-creación en un territorio en crisis. 
",Documental,N/A,Documental,"Participan 5: A) Proyecto Matahambre (Dirección: Frank G. Batista Mariño y Leonardo Rego Rivero, Edición: Leonardo Rego Rivero, Fotografía y corrección de color: Frank G. Batista Mariño, Producción: Iglesia El puente, Los Pinos). B) La especificidad del sitio (realización: Osmany Bonet Nodarse)
",,,,,,,,,,,,
2,www.filey.org,de marzo 2026 a marzo 2027,"Facultad de Artes Visuales de la Universidad de las Artes de Cuba, ISA, YUCUNET, FILEY-UADY   Hortensia Peramo Cabrera, curadora",2026-03-14 00:00:00,"Bajo mina. Proyecto universitario de investigación-creación en un territorio en crisis. 
", Exposición colectiva de artes visuales,N/A, Exposición colectiva de artes visuales,"Participan 5: Adrián Lamela Aragonés, Ariagna Álvarez Rodríguez, Natasha Forcade Gómez, Maykel Rodríguez Ricardo, Nelson Ramírez de Arellano Conde.",,,,,,,,,,,,
3,www.filey.org,de marzo 2026 a marzo 2027,"Facultad de Artes Visuales de la Universidad de las Artes de Cuba, ISA, YUCUNET, FILEY-UADY. Coordina: Anabel Caraballo Fuentes",2026-03-14 00:00:00,Estudio Habana. Maestría en Producción Simbólica Contemporánea y Mediación Sociocultural,Presentación del fotolibro,N/A,Presentación del fotolibro,"Participa (n) 16: Idea original Susana Lourenco, de la Universidad de Porto, Portugal, Fotografías de Levi Orta, Inés Garrido, Maybel Martínez, Alain Cabrera, Duhamel Xolot, Margarita González, Anabel Caraballo, Helga Montalbán, Tomás Oliva, Nurys Delgado. Guión y voz Roberto Medina, Compilación fotográfica David Neves, Montaje y edición Anabel Caraballo Fuentes, Musicalización Carlos Caraballo Mauriz y otros
",,,,,,,,,,,,
4,www.filey.org,de marzo 2026 a marzo 2027,"Directiva del Museo Comunitario, FILEY-UADY",2026-03-14 00:00:00,Museo Comunitario Itzmal Kauil,Charla,N/A,Charla,Participa 1: Juan Fermín Santos Cortés,,,,,,,,,,,,
5,www.filey.org,de marzo 2026 a marzo 2027,FILEY-UADY,2026-03-14 00:00:00,"Gabriel Ramírez (1938-2025). Entre pintura, cine y libros.
",Charla,N/A,Charla,"Participa 1: Jorge Cortes Ancona
",,,,,,,,,,,,
6,www.filey.org,de marzo 2026 a marzo 2027,Impulso Universitario AC,2026-03-14 00:00:00,20 años,Charla,N/A,Charla,"Participan 2 : Pilar Ibarra Camino y Yesica Che Herrera

",,,,,,,,,,,,
7,www.filey.org,de marzo 2026 a marzo 2027,Biblioteca Yucatanense- SEDECULTA,2026-03-14 00:00:00,Goyo Méndez. Un Fotoperiodista del Sureste,Charla sobre archivo hemerográfico y fotográfico,N/A,Charla sobre archivo hemerográfico y fotográfico,Participa 1: Kandy Ruiz González,,,,,,,,,,,,
8,www.filey.org,de marzo 2026 a marzo 2027,FILEY-UADY,2026-03-14 00:00:00,La influencia del muralismo: Pinturas Prehispánicas a regionalismo estadounidense,Documental de Trabajo Académico de ejercicio terminal,N/A,Documental de Trabajo Académico de ejercicio terminal,Participa 1: Karla Montero Chan,,,,,,,,,,,,
9,www.filey.org,de marzo 2026 a marzo 2027, FILEY-UADY,2026-03-14 00:00:00,"Me lo conto bordando (Una serie fotográfica de historia de vida de las bordadoras de Sotuta, Yucatán)",Exposición fotográfica,N/A,Exposición fotográfica,Participa 1: Guadalupe Pech Simá,,,,,,,,,,,,
PRESENCIAL Exposiciones,,,,,,,,,,,,,,,,,,,,,
1,Vestíbulo del auditorio Manuel Cepeda Peraza CCU-UADY     ,FEBRERO-MARZO, FILEY-UADY,"9/02/2026, 11:00 h AL 20/09/2026 L-V 10:00-18:00 h
"," Exposición de grafica
Título: Letras y líneas. Dibujos de Gabriel Ramírez Aznar        
Organiza: Luis Ramírez Carrillo, FILEY-UADY",Exposición gráfica,37,Exposición gráfica,Participa (n): 1  Gabriel Ramírez Aznar (+),,,,,,,,,,,,
2,Pasillos 2º. Piso Centro cultural universitario CCU-UADY,FEBRERO,FILEY-UADY,2026-02-09 00:00:00,"Exposición gráfica 
Título: FILEY toda una historia. Imágenes oficiales de las XIV ediciones de la FILEY
Participa(n): Acervo FILEY
Organiza: FILEY-UADY",Exposición gráfica,13,Exposición gráfica,Participa(n): 9 artistas            Acervo FILEY,,,,,,,,,,,,
3,"Campus Arquitectura, Hábitat, Arte y Diseño CAHAD-UADY  (Corredores del claustro)",FEBRERO-MARZO,FILEY-UADY ,"18/02/2026 11:00 h A 26/03/2026,  L-V 10:00-15:00 h","Exposición individual de pintura
Título: La magia del agua
Acuarela de gran formato
Organiza: FILEY-UADY",Exposición individual de pintura,30,"Acuarela de gran formato
",Participa(n): Jorge Santiago Herrera Andrade,,,,,,,,,,,,
4,Facultad de Contaduría y administración,FEBRERO-MARZO,FILEY-UADY,"19/02/2026 11:00 h  AL 20/03/2026  L-V 09:00-20:00 h
","Exposición grafica
Título: Rompiendo limites
Organiza: FILEY-UADY",Exposición gráfica ,16,Dibujos en técnica de conté,Participa(n): Yanina Castellanos Urquidi,,,,,,,,,,,,
5,Aeropuerto Internacional de Mérida sala C (Sara Millet) ,FEBRERO-MARZO," FILEY-UADY, ASUR","20/02/2026 10:00 h AL 20/03/2026  L-V horario abierto
","Exposición individual de pintura
Título: “Chac en el mundo”
Organiza: ASUR, FILEY-UADY",Exposición individual de pintura,30,"Acuarela de gran formato
",Participa: Jorge Santiago Herrera Andrade,,,,,,,,,,,,
6,"Campus Arquitectura, Hábitat, Arte y Diseño CAHAD-UADY (Galería de la biblioteca)",FEBRERO-MARZO,CAHAD-UADY,"26/02/2026 20:00 h 
 AL 26/03/2026  L-V horario 9:00-20:00 h","Exposicion individual de pintura
Título: Redes
Organiza: FILEY-UADY",Exposición individual de pintura,40,Exposición individual de pintura,Participa(n): Sasha Ovcharov,,,,,,,,,,,,
7,Universidad de las artes de Yucatán (Galería José Luis Rodríguez de Armas),MARZO-ABRIL,"UNAY, FILEY, UADY","Inauguración: lunes 2 de marzo de 2026,19:00 h 
2/03/2026 AL 03/04/2026 L-V 9:00-15:00 h","Exposición de artes visuales
Título: Arte correspondencia Remembranza Guijarro
Organiza: Universidad de artes de Yucatán UNAY, FILEY-UADY",Exposición de artes visuales,40,Exposición de artes visuales,"Participan 1: Guillermo Diaz Coello, Marco Aurelio Diaz Güemez (curador)",,,,,,,,,,,,
8,Universidad Modelo,MARZO,FILEY-UADY,5/03/2026 11:00 h AL 26/03/2026 horario abierto,"Título: Instantes mágicos
Muestra ecléctica
",Exposición de fotografía,30,Exposición de fotografía,Participan (n): Jorge Rivas Cantillo,,,,,,,,,,,,
9,Galería del Teatro Felipe Carrillo Puerto CCU-UADY,MARZO,Organiza: Sociedad de alumnos del CAHAD,"6/03/2026 18:00 h
 AL 26/03/2026  L-V 10:00-19:00 h","Título: Muestra Universitaria de artes visuales MUAV-CAHAD
Participa(n): Alumnos del CAHAD",Exposición de artes visuales,17,Exposición de artes visuales,Participa(n):  Alumnos del CAHAD,,,,,,,,,,,,
10,Centro Cultural Universitario UADY (pasillos de la planta baja),MARZO,FILEY-UADY,06/03/2026 19:00 hrs  AL 26/03/2026 L-S 10:00-19:00 hrs,"
Título: Las Ciencias de la salud en la UADY.
Masones forjadores a cien años de la fundación del Supremo Consejo del Sureste Organiza: FILEY-UADY",Exposición de archivos,24,"Exposición de archivos fílmicos, fotográficos y hemerográficos","Participa(n): Salvador Arteaga Trillo (coordinador), Gilbert Aroldo Quijano Molina (curador).",,,,,,,,,,,,
11,CENTRO DE CONVENCIONES Y EXPOSICIONES YUCATÁN SIGLO XXI  (Zona inicial y Uxmal 1 eventos artísticos),MARZO,FILEY-COLECTIVO DE ARTES Y LETRAS DE SAN SEBASTIAN,"14/03/2026 9:00 h
  9:00-12:00 h
","Desfile pasarela de luchadores de lucha libre
Título: Lucha Libre Neoclásica y Regional
Organiza: Lmp. Emilio Antonio Gutiérrez Contreras y Gilbert Aroldo Quijano Molina.",Desfile ,N/A,Desfile ,Participa(n): “Colectivo de Artes y letras de San Sebastián”.,,,,,,,,,,,,
