HORARIO INFANTIL Y JUVENIL FILEY 2027,,,,,,,,,,
HORARIO,SALA,SÁBADO 13,DOMINGO 14,LUNES 15,MARTES 16,MIÉRCOLES 17,JUEVES 18,VIERNES 19,SÁBADO 20,DOMINGO 21
9:00 - 9:50,Sala 1,,,,,,,,,
,Sala 2,,,,,,,,,
,Sala 3,,,,,,,,,
,Sala 4,,,,,,,,,
,Sala 5,,,,,,,,,
,Sala 6,,,,,,,,,
,Sala cine 1,,,,,,,,,
,Sala cine 2,,,,,,,,,
,Espacio lúdico,,,,,,,,,
,Virtual,,,,,,,,,
10:00 - 10:50,Sala 1,,,,,,,,,
,Sala 2,,,,,,,,,
,Sala 3,,,,,,,,,
,Sala 4,,,,,,,,,
,Sala 5,,,,,,,,,
,Sala 6,,,,,,,,,
,Sala cine 1,,,,,,,,,
,Sala cine 2,,,,,,,,,
,Espacio lúdico,,,,,,,,,
,Virtual,,,,,,,,,
11:00 - 11:50,Sala 1,,,,,,,,,
,Sala 2,,,,,,,,,
,Sala 3,,,,,,,,,
,Sala 4,,,,,,,,,
,Sala 5,,,,,,,,,
,Sala 6,,,,,,,,,
,Sala cine 1,,,,,,,,,
,Sala cine 2,,,,,,,,,
,Espacio lúdico,,,,,,,,,
,Virtual,,,,,,,,,
12:00 - 12:50,Sala 1,,,,,,,,,
,Sala 2,,,,,,,,,
,Sala 3,,,,,,,,,
,Sala 4,,,,,,,,,
,Sala 5,,,,,,,,,
,Sala 6,,,,,,,,,
,Sala cine 1,,,,,,,,,
,Sala cine 2,,,,,,,,,
,Espacio lúdico,,,,,,,,,
R    E    C    E    S    O           R    E    C    E    S    O           R    E    C    E    S    O,,,,,,,,,,
3:00 - 3:50,Sala 1,,,,,,,,,
,Sala 2,,,,,,,,,
,Sala 3,,,,,,,,,
,Sala 4,,,,,,,,,
,Sala 5,,,,,,,,,
,Sala 6,,,,,,,,,
,Espacio lúdico,,,,,,,,,
4:00 - 4:50,Sala 1,,,,,,,,,
,Sala 2,,,,,,,,,
,Sala 3,,,,,,,,,
,Sala 4,,,,,,,,,
,Sala 5,,,,,,,,,
,Sala 6,,,,,,,,,
,Espacio lúdico,,,,,,,,,
5:00 - 5:50,Sala 1,,,,,,,,,
,Sala 2,,,,,,,,,
,Sala 3,,,,,,,,,
,Sala 4,,,,,,,,,
,Sala 5,,,,,,,,,
,Sala 6,,,,,,,,,
,Espacio lúdico,,,,,,,,,
6:00 - 6:50,Sala 1,,,,,,,,,
,Sala 2,,,,,,,,,
,Sala 3,,,,,,,,,
,Sala 4,,,,,,,,,
,Sala 5,,,,,,,,,
,Sala 6,,,,,,,,,
,Espacio lúdico,,,,,,,,,
