,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Tipo de Actividad,Actividades Literarias,,,Actividades Literarias-UADY,,,Actividades Académicas,,,Actividades Académicas-UADY,,
,Charla,,,,,,,,,,,,
,Conferencia,,,,,,,,,,,,
,Conversatorio,,,,,,,,,,,,
,Mesa redonda,,,,,,,,,,,,
,Lectura de obra,,,,,,,,,,,,
,Presentación del libro,,,,,,,,,,,,
,Presentación de revista,,,,,,,,,,,,
,Propuestas aceptadas,0,,,0,,,0,,,0,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Facultad o dependencia,Actividades Literarias-UADY,,,Actividades Académicas-UADY,,,,,,,,
,Facultad de Ciencias Antropológicas,,,,,,,,,,,,
,,,,,,,,,,,,,
,Facultad de Arquitectura,,,,,,,,,,,,
,,,,,,,,,,,,,
,Facultad de Medicina,,,,,,,,,,,,
,,,,,,,,,,,,,
,Facultad de Enfermería,,,,,,,,,,,,
,,,,,,,,,,,,,
,Facultad de Derecho,,,,,,,,,,,,
,,,,,,,,,,,,,
,Facultad de Educación,,,,,,,,,,,,
,,,,,,,,,,,,,
,Secretaría General UADY,,,,,,,,,,,,
,,,,,,,,,,,,,
,Centro de investigaciones regionales Dr. Hideyo Noguchi de la UADY,,,,,,,,,,,,
,,,,,,,,,,,,,
,CIR-Unidad de Ciencias Sociales,,,,,,,,,,,,
,,,,,,,,,,,,,
,DGDA,,,,,,,,,,,,
,,,,,,,,,,,,,
,DGFA,,,,,,,,,,,,
,,,,,,,,,,,,,
,PROIMAYA,,,,,,,,,,,,
,,,,,,,,,,,,,
,UADY,,,,,,,,,,,,
,,,,,,,,,,,,,
,Propuestas aceptadas,0,,,0,,,,,,,,
